,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
0,! ! &,-12.969525092978847,.,-7.514919120596027
1,! ! ),-12.969525092978847,",",-7.88066954655156
2,! ! -,-12.969525092978847,"""",-8.040024669976418
3,! ! /,-12.969525092978847,people,-8.324684388967
4,! ! 0.125,-12.969525092978847,?,-8.38811878507215
5,! ! 11,-12.969525092978847,like,-8.562876139168381
6,! ! 3,-12.969525092978847,don't,-8.56878540456949
7,! ! 5,-12.969525092978847,just,-8.612398727078673
8,! ! 5/10,-12.969525092978847,i'm,-8.701046553633786
9,! ! 6,-12.969525092978847,!,-8.725724555334885
10,! ! 8am,-12.969525092978847,it's,-8.952295071489164
11,! ! ;),-12.969525092978847,:,-8.965732329541986
12,! ! absolutely,-12.969525092978847,...,-8.98865900485633
13,! ! agree,-12.969525092978847,know,-9.0082297308597
14,! ! amazing,-12.969525092978847,you're,-9.062113813320419
15,! ! approved,-12.969525092978847,twitter,-9.113167803036669
16,! ! aug,-12.969525092978847,friends,-9.22046075946577
17,! ! awesome,-12.969525092978847,time,-9.292547127452162
18,! ! bambam,-12.969525092978847,u,-9.299775580824022
19,! ! best,-12.969525092978847,really,-9.314409997588164
20,! ! big,-12.969525092978847,think,-9.348212375395939
21,! ! bobwhite,-12.969525092978847,want,-9.352051984082372
22,! ! breaking,-12.969525092978847,😂,-9.353877369374793
23,! ! bring,-12.969525092978847,*,-9.357739041077005
24,! ! c'mon,-12.969525092978847,good,-9.35805867041115
25,! ! catch,-12.969525092978847,shit,-9.371738121472571
26,! ! champ,-12.969525092978847,make,-9.39501300481912
27,! ! chefboyar,-12.969525092978847,can't,-9.423461407685963
28,! ! classics,-12.969525092978847,tweet,-9.432836773790566
29,! ! cod,-12.969525092978847,fuck,-9.50367200445222
30,! ! collection,-12.969525092978847,say,-9.544454988076069
31,! ! comment,-12.969525092978847,need,-9.559478553091285
32,! ! couldn't,-12.969525092978847,lol,-9.576902966007179
33,! ! customer,-12.969525092978847,stop,-9.621616287835979
34,! ! dead,-12.969525092978847,! !,-9.630594881794345
35,! ! didi,-12.969525092978847,person,-9.637532154224132
36,! ! didn't,-12.969525092978847,/,-9.641770686040012
37,! ! dr,-12.969525092978847,hate,-9.656347225075177
38,! ! excited,-12.969525092978847,? ?,-9.67230590575279
39,! ! exciting,-12.969525092978847,),-9.677015016003786
40,! ! eyes,-12.969525092978847,life,-9.681245057600623
41,! ! family,-12.969525092978847,thing,-9.694457249976876
42,! ! fender,-12.969525092978847,y'all,-9.715997837577287
43,! ! finally,-12.969525092978847,-,-9.741861833394658
44,! ! financing,-12.969525092978847,got,-9.742157527859067
45,! ! follow,-12.969525092978847,friend,-9.753175903052998
46,! ! following,-12.969525092978847,fucking,-9.757893865182913
47,! ! god,-12.969525092978847,',-9.769028012571228
48,! ! goodnight,-12.969525092978847,@,-9.771806033575658
49,! ! gorgeous,-12.969525092978847,(,-9.777890364637512
50,! ! guess,-12.969525092978847,feel,-9.814291249662805
51,! ! happy,-12.969525092978847,bad,-9.821884581195075
52,! ! head,-12.969525092978847,going,-9.841372193435472
53,! ! heaps,-12.969525092978847,talk,-9.849833562850087
54,! ! hiii,-12.969525092978847,️,-9.858911261624204
55,! ! home,-12.969525092978847,bitch,-9.858977009880885
56,! ! homeland,-12.969525092978847,tweets,-9.870165449366965
57,! ! hospital,-12.969525092978847,tell,-9.880885185503084
58,! ! house,-12.969525092978847,&,-9.881018300492059
59,! ! i'll,-12.969525092978847,day,-9.897599277791057
60,! ! ig,-12.969525092978847,way,-9.90235225685791
61,! ! intelligence,-12.969525092978847,doesn't,-9.907496184327837
62,! ! isn't,-12.969525092978847,ass,-9.911424603889348
63,! ! it's,-12.969525092978847,gonna,-9.920401601189125
64,! ! know,-12.969525092978847,right,-9.922270311525246
65,! ! kongrats,-12.969525092978847,that's,-9.934610058510442
66,! ! let,-12.969525092978847,ur,-9.945329388051789
67,! ! live,-12.969525092978847,things,-9.967690068803034
68,! ! lol,-12.969525092978847,i've,-9.983400366969082
69,! ! look,-12.969525092978847,new,-9.984195398635741
70,! ! looking,-12.969525092978847,did,-9.993030449465236
71,! ! looks,-12.969525092978847,actually,-10.00404883868877
72,! ! lov,-12.969525092978847,wanna,-10.025626844746405
73,! ! loved,-12.969525092978847,look,-10.040078175240902
74,! ! monday,-12.969525092978847,come,-10.04846712856993
75,! ! money,-12.969525092978847,best,-10.051204220063175
76,! ! need,-12.969525092978847,girl,-10.070864088631602
77,! ! new,-12.969525092978847,they're,-10.072930615937471
78,! ! night,-12.969525092978847,annoying,-10.097397338985745
79,! ! notifs,-12.969525092978847,lmao,-10.108508573976776
80,! ! okay,-12.969525092978847,trying,-10.1217071752822
81,! ! omg,-12.969525092978847,i'll,-10.122277420211805
82,! ! philippenes,-12.969525092978847,does,-10.129378946494908
83,! ! pico,-12.969525092978847,real,-10.132848935571756
84,! ! picture,-12.969525092978847,oh,-10.133860073620214
85,! ! plays,-12.969525092978847,funny,-10.148576609524671
