,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,Way_too_lazy,@IlluminatifyRBX @SirDeviloper The only tweet he didn't subtweet me in was when he taunted me cause he almost had t… https://t.co/awIH2iWIPa,946336513117257728,IlluminatifyRBX,"i have to be honest im glad fireable was suspended, he deserved it",946328768359972864
1,DexterAlmighty9,@Biltawulf Is this a subtweet?,946333445998997507,Biltawulf,"If you’re tweeting details of your Twitter family then it’s time to put your phone down, go outside and speak to adult humans.",946317847558533121
2,VannaMaKayla,@lifewithkady 🙄🙄 don’t have to subtweet when our elbows are literally touching,946328159426875392,lifewithkady,"Don’t mind Savannah, y’all 😂",946327651685470208
3,bubsby,@Moomishii y u gotta subtweet @NasuFriend like that,946323669978046464,Moomishii,"twitter trap: (picture of a cat rolling on the floor and eating spaghetti)

also twitter trap: i want a boyfriend that tears out my eyes",946225427026268161
4,JessSchmes,@jtbaxa YES YOU DO AND MORE. FUCK DA HOE. #subtweet #iknowyouseethisbitch #comeatme,946319036794650624,jtbaxa,I honestly deserve the best.,946261637920522240
5,shokohoshi,@gaymerprincess Why do u have to subtweet me like this,946313325155008512,gaymerprincess,"me: am goin to bed
also me: *still browsing twitter like 10 mins after saying they were going to bed*",946313038700863488
6,pigeonkin,@fwuffydrago @kagemikas did u not see my fuckin subtweet my man and no its Tradition now,946312513217589248,kagemikas,can someone convince me to keep this avi until new year's thank you,946311681826750464
7,archivequality,@gusssssssssy @gcbsmith Don’t subtweet me,946312385773518849,gusssssssssy,Oh god... Just caught my self using the the term shandie mixer instead of lemonade 😓,946233680405577729
8,elaffhoumsse,@HelloWorldItsRo issa subtweet,946311440440360960,HelloWorldItsRo,Having someone so real come into your life makes you see how fake everyone else is around you,946167296992702464
9,Aeonlesss,@annaquinones I literally just told you “don’t subtweet me “lmfao,946302221594980352,annaquinones,Its going to be so hard trusting someone again,946266540722098176
10,ethwwn,@jroopss Shut the fuck up nice subtweet,946292710939549696,jroopss,Half the people that listen to D rose by lil pump do not even know who d rose is.,946292635878154240
11,BMConservative,@iatemykitten Take a biology class before you subtweet somebody,946289445505990656,iatemykitten,"People love talking about stuff they know nothing about, it’s quite hilarious",946285912475951104
12,FBITrap,@gaiemen_Raycost Nice subtweet,946288212787515398,gaiemen_Raycost,"2017: poast tummy

2018: poast veins",946287299150495744
13,cold_playing,@issaadsad True af. Is that a subtweet for anyone?,946286331814203392,issaadsad,"when you start treating people how they always treated you , they say its unfair lol",946285274606309376
14,miacantdraw,@victoryrhoad Can you not subtweet me????? Thanks,946282501139517440,victoryrhoad,Decaf coffee is an unethical practice,946280896902123520
15,Armontisan,@amaotk Don’t subtweet me nigga😂,946280295782809601,amaotk,If someone don’t tell Aaron to stfu,946278933028392960
16,OGSAFI,@d0n__timoteo lmfao nigga dont subtweet me 😂😂,946278497747718144,d0n__timoteo,i hate when ppl DM me memes that i retweeted 🙃🙃🙃🙃,946277824708726784
