,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,_briannasherae,@svpreme_brevo don’t subtweet df,969359550473211905,svpreme_brevo,be loud and wrong for no reason 🙄 make me sick,969358754364960768
1,Miserichorde,"@mewlies Damn it new you answered me in a subtweet while I was asking this, you psychic Red",969356135588384768,mewlies,if you own a funko pop unfollow me,969296293762818048
2,DaliaEzz_,@elsaqa_sara Yb2a subtweet😂😂😂,969354607464992770,elsaqa_sara,msh you found a girl beautiful and sweet bardu samaket el ersh kaletha wla eh,969353448775921664
3,scuppiedobrik,"@VibrantIncontro oh, don’t subtweet me 😔",969354269580242944,VibrantIncontro,The Boston tea party more like the dkdd t party,969353308740751365
4,DaliaEzz_,@elsaqa_sara Dy subtweet?,969353705387683843,elsaqa_sara,msh you found a girl beautiful and sweet bardu samaket el ersh kaletha wla eh,969353448775921664
5,yung_chocolate,@StevenSuptic Would love to but I dont have a demo reel. If this is serious and you somehow come across my subtweet… https://t.co/d2QgxfbCru,969352785945915392,StevenSuptic,"Any aspiring child/teen actors out there want to play a part in an upcoming video? Reply here, preferably with a demo reel.",969349968052985856
6,LizzyAshlie,@alynn1323 The subtweet is unnecessary,969352243051769856,alynn1323,honestly don’t know how some people are so directionally challenged??,969291477925982208
7,luxj_,@HundVonInternet subtweet,969351350940250114,HundVonInternet,in den mentions muss man nicht originell sein deshalb machen manche auch so viele davon,969351218882596864
8,DanRShafer,@WaukeshaFreeman is this a subtweet,969344857406717952,WaukeshaFreeman,"Today's Inspiration:
“We know what we are, but know not what we may be.”
— William Shakespeare",969344519517949953
9,noodlette,"@juliacarriew subtweet about them on Twitter, duh",969337605505429504,juliacarriew,what would you do if you saw someone eating a taco with a knife and fork,969337005497753600
10,AdeelSButt,@RupinderKW Typical 1st kind of subtweet 🤣🤣🤣🤣🤣,969331155639132161,RupinderKW,If you don’t like my opinions / views / work why are you even following me lol.,969328085572210688
11,Owiu_,@DJoohlala lmao u gone subtweet ya own family.. lemme @ Cuz real quick,969330972515708933,DJoohlala,When unexpected guest come stay with you evaaaaaareeeeeethinggggg they do irritate you I swear,969328489194229761
12,iwanttodieomg,@cumgaze there’s a subtweet i thought u were just shitposting my bad ma,969330932154032128,cumgaze,"Ravioli, ravioli
cum in my butthole (・ω・｀)",969328594697760769
13,o_______o7,@labor_lariat this is a subtweet for me....i just know it,969330817569820672,labor_lariat,People...who use...ellipses...in...every tweet...stress me...out...tbh,969281891223461888
14,ScottyKess,@japatrick200 At least “@“ me bro #subtweet,969330756148514817,japatrick200,Man City has a THIRTY POINT lead on Arsenal. 30! Unthinkable.,969327979791835137
15,cfatemi1,@MarieEcstasy_ Why you subtweet so much?,969330374978412544,MarieEcstasy_,Niggas my age be soooo immature smh I️ hope Friday compensates for yesterday’s fail lol,969256668688130049
16,Younger__Z,@irlfascist Is this a subtweet?,969329122290872321,irlfascist,is it worth getting curious cat or is that gay,969328989054652417
17,DDemize,@7aunts Cheeky subtweet,969326187079258112,7aunts,Getting triple stunned and getting shot in my back lmao,969325307730825216
18,DAT_GP,@Bulbamike Did you just subtweet my entire day today,969322876074713090,Bulbamike,"""Can't go into work today, perfect opportunity to catch up on some of my own work!""

*plays Dragon Quest for 5 hours*",969314837028319238
19,_jonnyB69,@gigiloeraa Don’t subtweet me,969322231514968069,gigiloeraa,i’m trying so hard not to hate you,969278765804134400
20,heybonanos,@parabasis This is the opposite of a subtweet.,969322154125942786,parabasis,Fact checkers are the best.,969320923181527040
21,SeidelUMBC,"@eeeelrak *ruin

i’ll now step away from this assumed subtweet",969321189670825986,eeeelrak,Just had to ruined the mood...,969320506771075073
22,sierrasmith216,"@samiperryayy Another subtweet, huh Sam?",969319815952371717,samiperryayy,ppl get so mad when they're wrong,969317993711833089
23,LMcHugh_Russell,"@Umut_Ozsu That is one obscure subtweet, @Umut_Ozsu",969318340463341569,Umut_Ozsu,"""Glocal"" is dumb. Just sayin'.",968928299371016192
24,gracecain_,"@emharpss very mature, just didn’t think you’d stoop so low to subtweet me. childish",969316384982339586,emharpss,all those memories flushed down the toilet😢😢😭😭,969312295192072192
25,markonilmar,@plasma_palace wow you didnt need to subtweet @pixelshitposts like that,969314958088589312,plasma_palace,"i wonder how many straight boys would suck dick for 30 minutes of ad-free music
anyway how was your da",969314742874537984
26,FiveTrenchcoats,@radspacegal Maybe you need to subtweet Greg Chun so he likes your post. You might be blessed.,969309367630737408,radspacegal,cursed ephraim that doesn’t come home and steals all of your orbs,969307066975379462
27,thenamesness,@bananahjane people who subtweet,969308502467362816,bananahjane,why is everyone 21 but me,969079184751382528
28,tammyisamess,@RoseEllenDix oh girl that subtweet i see you https://t.co/SYlnl7w1QB,969302894523617280,RoseEllenDix,"Guys our next main channel video is so funny, I can’t even TELL YOU #50000likes",969277084743892992
29,MeiDoctor,"@RFatimaSays I got the subtweet 😁, thanks Rida",969300587568386048,RFatimaSays,"Happy birthday, Shaeel.🌸",969300387034550274
30,Luridly,@EtsyM8 Swizy subtweet,969297575487483904,EtsyM8,you ever just sit in your truck,969296136455454720
31,LaurenBoline1,@Abigailion ALSO says the one who’s continues to subtweet me and STILL not have a normal conversation,969296033946787840,Abigailion,some people need to grow the fuck up,969104777937334272
32,saraheebennett,@ianyeet The subtweet is real https://t.co/zHTEFuYF0Q,969294828222779393,ianyeet,Repeatedly saying on social media “big test tomorrow”,969208059632513024
33,Aurum7HRN,@EphemeralPrince @ me next time dont subtweet,969291766385074181,EphemeralPrince,Straights need to stop mixing up their terminology. Top and dominant are not the same thing. Bottom and sub are not the same thing.,969291070860353536
34,HeyItsSquared,@TDX__ Nice subtweet 👍,969291207657607170,TDX__,"I was honest with someone and they block me

It is what it is lol...",969255538742759424
35,gma_keash,@JustinZenki did you just subtweet yourself,969286680464171008,JustinZenki,"Never wait on anyone to no longer be busy.

People will make time if they wanted to.",969285575554379776
36,jayacunzo,@OScampington This is a subtweet in a parody crammed into an echo chamber https://t.co/qEIBJxglgd,969286138245582854,OScampington,How To Talk To Your Kids About Conversational Marketing,969281981149270017
37,estrellaaaaa11,@CristianRosas99 subtweet her,969281792724238336,CristianRosas99,How do I tell my girl that she’s a traitor and that I don’t love her anymore?,969281600729989120
38,Gokey,@Manjiino Dont subtweet me,969280357160939521,Manjiino,HOW TF ARE YOU GONNA BE 17 AND GET ENGAGED,968918094902185984
39,divinernr,@RoseEllenDix Classic Rose Dix subtweet https://t.co/vkZAzxRaBq,969278147492548608,RoseEllenDix,"Guys our next main channel video is so funny, I can’t even TELL YOU #50000likes",969277084743892992
40,BacheLoos94,@Razistan1 Good subtweet,969276589686099969,Razistan1,"""Bro - I'm not trying to do gheebah but...""

[continues to do massive gheebah]",969275592679002112
