,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,Maddiee22,@Simon_Kim45 Hope that’s not a subtweet towards my Snapchat bud,947250685053165573,Simon_Kim45,When people say they “moved out” while their parents still deposits money into their bank account. 🤔 #didyoureally?,947248320162029568
1,sadbukharin,"@LilUglyManeVEVO being a twitter snitch is despicable, we should be able to subtweet in peace",947249580651024384,LilUglyManeVEVO,the problem isnt being a snitch the problem is who you snitch to,947246534382489600
2,abigail_foster5,@Connor_Alan_ How i caught this subtweet... 🙄 https://t.co/n5eqomm9zc,947248472213917696,Connor_Alan_,Sometimes my gf responds to texts with messages that dont make any sense back 😂 thats how I know she’s busy,947195376989327360
3,sammysnyderr,@jaredsilva63 This is a direct subtweet @savannah_neilan,947244943436865537,jaredsilva63,Do you put syrup on chocolate chip pancakes?,947135460798877696
4,GruM_fgt,"@Zester Torchic was fucking cute, don't subtweet me like this",947244581237731328,Zester,Never trust anyone that only picked fire type starters on pokemon they used to steal money out their moms purse,947201898217656323
5,KPkeepay,@GlitchyCat this is the most obvious subtweet I've ever seen,947244506012966913,GlitchyCat,"[talking to my gf]
“Piss is a part of his Brand”",947244344083226624
6,sarahw,"@lyzl @SarahEvonne @Nicole_Cliffe Let us subtweet in peace, right",947243248984248320,Nicole_Cliffe,ok I want to raise a grievance I felt several years ago about a memoir I now barely remember,947136054104014849
7,BOugieZee,@SkleeMoney_ @FieRedThea You be actin like a lil bitch. Niggas don’t subtweet females and damn sure don’t be on no… https://t.co/O93xHG5oCI,947241433806835712,FieRedThea,bitches swear I’m mean 🙄 bitch I ain’t mean I’m just not friendly 😉,946838315147386880
8,These_Boots,"@nearlylegal @drlangtry_girl No you won't stop, or no you won't subtweet tonight?",947234866546069505,nearlylegal,"Oh hell, so tempted to sub tweet. But resisting...",947231106360926210
9,notureggo,@libbyhodgson_ Whos this shady subtweet at,947232823475359744,libbyhodgson_,"i haaaateee when you request to follow someone you know on insta and they accept but don’t follow back, didn’t know you were famous x",947228775154151424
10,drlangtry_girl,@nearlylegal A subtweet a day keeps the rage thread at bay. Or something 😉,947231499279126528,nearlylegal,"Oh hell, so tempted to sub tweet. But resisting...",947231106360926210
11,bomb_mask,@1862011 I'm not convinced this isn't a subtweet,947229707350654976,1862011,Honestly surprised that in the 3 years I've had multiple Twitter accounts I've never accidentally tweeted anything bad on main.,947229320933728258
12,SpicyHungarian,@Dudas_Priest isn't that subtweeting a subtweet?,947225007461224448,Dudas_Priest,Subtweeting aint a good look. You know who you are....,947224075033706497
13,The_D_valentine,@kcwildermuth I thought so too then you hit me with a subtweet !,947223211632099328,kcwildermuth,Y’all some fake hoes,947204646082416640
14,ATLSAHM,@HouseOfVine I'm thinking about doing a Casey Kasem style subtweet gif thread 😉🤣😂,947220741602381825,HouseOfVine,"Pondering an end of the year rant about Twitter and all it's dysfunction. 

Maybe 83 tweets long. For good measure.",947159137141579776
15,guitarphreak17,"@AhoyItsKati Lmao sick subtweet. You're still dumb. He literalized her joke, which in and of itself is not an issue… https://t.co/Oh3oFhUWl8",947220072799420416,AhoyItsKati,I will fight any bitch that comes at my man. Try me,947203039122903042
16,faithful_intern,@xXxsheeniexXx subtweet abusers all u want! they deserve it!,947217803660193792,xXxsheeniexXx,High key v fucked up to see an abuser gain clout esp within the small creative Asian spaces that I value,947029748407975937
17,LINZH0E,@notnowthankyou2 please don’t subtweet me,947215389443858432,notnowthankyou2,I'm in love with a woman that carries nothing but a coozie and a flask in her purse.,947213307819069440
18,Matthew_Ryan_J,@t0fuscramble Don’t subtweet me,947214594241523713,t0fuscramble,You may find my twitter annoying but imagine if I just texted someone my dumb stream of consciousness and how annoyed they would be,947193950963716098
19,AlbertWang_,@brianlyart Is this a subtweet LOOOOOL,947209526897467392,brianlyart,Bartenders' rule - Do not use another bartenders' tools and/or alcoholic beverages without permission.,947201790222700545
20,JonToxics,@HWPayne7 Nice subtweet fag ;),947204009743601666,HWPayne7,literally no point in playing if your never going to win anything,947203794710007808
21,thezoecarter,@netyenta This is a subtweet and I’m mad,947202057051758592,netyenta,the shame of opening your laptop &amp; having to revisit the bullshit you inexplicably went 40 tabs deep on at 5am,947183571051143180
22,autisticb4mmr,@goodcrumpet He follows me. I am tempted to subtweet.,947201144320770053,goodcrumpet,That autismspeech Rob guy just followed me. I blocked him before he had the chance to tweet to me about his awful book 😂👍,947200602093834240
23,juliarombult,@swelch1_ Is this a subtweet,947200608645406721,swelch1_,If you genuinely think you’re addicted to your juul you’re an idiot,946908321080016896
24,LeeSpielman,@awonderland Don’t subtweet me while sitting next to me,947200442760445952,awonderland,My peeve is when it’s all quiet and peaceful around u and then someone starts blasting insta stories really loud,947200342474629120
25,sarah_wright15,@griftastic1 that subtweet though,947199934121594880,griftastic1,All I’m asking is for people to listen and care because it’s not all about them.,946915260761608192
26,aidansmoon,@worstboytolive I don’t subtweet u because I tell u everything I feel but oh well,947198971130400768,worstboytolive,I WANT UR SUBTWEETS TO BE ABOUT ME FUCK,947198670419542016
27,NickDaGuy,@JaySeppi_ smh u just gonna subtweet tylor like that,947198108102004736,JaySeppi_,90% of DMV rappers trash,946823822560329729
28,JohnGrahamIV,@dumbbeezie Hey don't subtweet @llcoolj,947191478882672640,dumbbeezie,"I believe your mother told you to knock me out, LL Cool J. What gives",946967989827485696
29,BostonBelle4,"@Kylerenaud8 Anyone in particular or just a general subtweet?

We (Americans) can be pretty adorable.",947189288818692096,Kylerenaud8,Some of you Americans are adorable sooo excited by a round robin game 😂😂😂😂,947185828509319168
30,SirMiguel_55,@Harry8D @PlanetGarcia Lmfao I don’t subtweet neither of y’all cause I got other stuff going on. I got other people… https://t.co/LOwSmZUufM,947185626608291846,PlanetGarcia,He just mad cus I’m 20 and I’m popping lmao he damn near 30 living with his brother lol,947177312839258112
31,spacemnk3,@isabelletulifan Is this a subtweet,947183854627852289,isabelletulifan,if you like being happy you'll LOVE deathconsciousness,947178193114427392
32,iamlejo,@BillKristol Is this an Iran or Trump subtweet? I can’t tell,947180365524979712,BillKristol,Regime change seems impossible...until it suddenly happens.,947148803886460929
33,RcoHog123,@RoyalCorah I just called it a subtweet lmak,947178330142461952,RoyalCorah,"Don’t have people notified on twitter if you’ll complain when they tweet 

Simple.",947177849953443841
34,RcoHog123,@RoyalCorah Nice reply to a subtweet👌,947178162793975808,RoyalCorah,"Don’t have people notified on twitter if you’ll complain when they tweet 

Simple.",947177849953443841
35,Hannah_M_Wade,@juliassmfh Is this a subtweet at cannon,947177737592229890,juliassmfh,i 9000% do not trust people who think Grease is good,947175576015704064
36,SoupOcean,@McMarvv big white subtweet,947176237532893189,McMarvv,"my biggest fear is to have mutt children that arent as pure as me.
i dont want to be american ....",947176040887091201
37,Its_Starboy,@jaz_pov Yeah like this isn't a subtweet,947173927956164613,jaz_pov,when will someone finally appreciate memes that i send to them i’m,947148419470065664
38,Its_Starboy,@jaz_pov Nice subtweet babe,947173709936320513,jaz_pov,when will someone finally appreciate memes that i send to them i’m,947148419470065664
39,eythan_braulick,@jakeneumann16 Only pussies subtweet,947172002233769984,jakeneumann16,You could do one of those Jan-Dec stories with a new guy every month,947160895066660864
40,ronniieeeeee,@romeyromejr did you just subtweet yourself,947169449806667776,romeyromejr,"Ma, ya MCM spent 130$ to tweet out rave day, he’ll be blacked out before he gets to see his favorite artist... good times 😌",947165483207290880
41,meghanwlmadeit,@rrequinn Don’t subtweet me,947167020885327873,rrequinn,I can’t stop muting my friends and forgetting forever,947165655840694273
42,funkydunky05,@Gracelyn_Belle Isn’t this a subtweet,947163213669519362,Gracelyn_Belle,I thought sub tweets weren’t a thing anymore but I guess I thought wrong,946871270372790274
43,kappa_chow,@unpleasantbabe Do not subtweet. Tell me.,947162152699297794,unpleasantbabe,"Calling your friends out isn't ""being mean""... it's necessary for healthy friendships.",946883082899963904
44,GraphizzleN,@GucciSynek was soll der subtweet,947161928849412096,GucciSynek,twitter hat eine neue lieblingshure mal sehen wieviel tage es dauert bis sie jetzt weggemobbt wird,947157985230454784
45,Reecelutton,@OIIy0 @GGalpS I subtweet coz u can’t win a map tho you utter goon now fuck off,947161634379911168,OIIy0,Fattest detris I’ve ever played by far lmao,947152518274052096
46,FRS1214,@AndySnaks @WGilmer14 subtweet👀👀👀,947159256901607424,AndySnaks,Damn Mississippi State fans are sensitive 😂😂,947158318371524608
