,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,aidanfeay,@thatsenoughnaf i resent this subtweet,963924133070467077,thatsenoughnaf,don't trust a white boy who says he can handle spice,963248067867742209
1,irlconchita,@zion_kuwonu I sense a subtweet,963919456035528704,zion_kuwonu,Love at first sight don’t exist 😂 it’s called being attracted at first sight🤦🏽‍♂️,963904461872640000
2,SwooshMcDuck,@skywaker9 I'm bout to block you both. It's stupid. Out that bullshit for what it is. Don't just subtweet that shit… https://t.co/HmpMX6sCun,963917713201483777,skywaker9,Shouldn't be necessary.....you shouldn't need to know how to use a gun to be a kid....sign of a broken society.,963915817208373249
3,samuelgursky,@CPConrad Don't subtweet me bro,963917127890718721,CPConrad,the only thing i hate more than getting work texts after 10pm is sending work texts after 10pm and not getting a reply,963618018814242816
4,JHendricks2,"@InkedandDamaged Way deep for a subtweet, sorry",963915428962566144,InkedandDamaged,I REALLY don’t know why I fucking bother.,963887455639187456
5,_itsnickiiiii,@Hey_Cedez Is this a subtweet about yourself,963912610398785537,Hey_Cedez,Y’all really be upset that you don’t have a Valentine on Valentine’s Day huh lol,963911365529341953
6,x0_1372,@imloti and also blocking anybody who even knows someone they don't like... #subtweet,963912437589315586,imloti,Someone who says in their bio that they like making new friends...and yet their tweets are protected. #Paradox,963912292009238528
7,Leezyy_,@A_Raaww_ Not bout to bother her over ah subtweet,963912373303173124,A_Raaww_,"I tweet waffle house , larry pop out the wood works 🤦🏾‍♂️but any other time mans nowhere to be found &amp; stop fwm💀🤷🏾‍♂️",963906599285936129
8,CatLover10705,@LeapNLeopard And you tell me that i subtweet. Nice one dude. You complete hypocrite,963910023272452098,LeapNLeopard,"Telling people to spam them to get you unblocked is nothing but rude, should do it yourself and not get your followers involved 👍",963905459110457346
9,chncebmoc,@zion_kuwonu @DrewRamosNYC since u wanna subtweet,963908262377619456,zion_kuwonu,Love at first sight don’t exist 😂 it’s called being attracted at first sight🤦🏽‍♂️,963904461872640000
10,10KHRSLOVINGU,@zion_kuwonu how u gon subtweet drew he breathed,963905823020847104,zion_kuwonu,Love at first sight don’t exist 😂 it’s called being attracted at first sight🤦🏽‍♂️,963904461872640000
11,salaciousdrew,@zion_kuwonu dont fucking subtweet my man drew,963905081937747969,zion_kuwonu,Love at first sight don’t exist 😂 it’s called being attracted at first sight🤦🏽‍♂️,963904461872640000
